,identifier,source,annotation
20629,P23874,Gene Ontology (molecular function), histone H2AS121 kinase activity [GO:0072371]
20630,P23874,Gene Ontology (molecular function), histone H2AT120 kinase activity [GO:1990244]
20631,P23874,Gene Ontology (molecular function), histone H2AXS139 kinase activity [GO:0035979]
20632,P23874,Gene Ontology (molecular function), histone H2BS14 kinase activity [GO:0044025]
20633,P23874,Gene Ontology (molecular function), histone H2BS36 kinase activity [GO:0140823]
20634,P23874,Gene Ontology (molecular function), histone H3S10 kinase activity [GO:0035175]
20635,P23874,Gene Ontology (molecular function), histone H3S28 kinase activity [GO:0044022]
20636,P23874,Gene Ontology (molecular function), histone H3S57 kinase activity [GO:0140855]
20637,P23874,Gene Ontology (molecular function), histone H3T11 kinase activity [GO:0035402]
20638,P23874,Gene Ontology (molecular function), histone H3T3 kinase activity [GO:0072354]
20639,P23874,Gene Ontology (molecular function), histone H3T45 kinase activity [GO:0140857]
20640,P23874,Gene Ontology (molecular function), histone H3T6 kinase activity [GO:0035403]
20641,P23874,Gene Ontology (molecular function), histone H4S1 kinase activity [GO:0044023]
20642,P23874,Gene Ontology (molecular function), magnesium ion binding [GO:0000287]
20643,P23874,Gene Ontology (molecular function), protein serine kinase activity [GO:0106310]
20644,P23874,Gene Ontology (molecular function), protein serine/threonine kinase activity [GO:0004674]
20645,P23874,Gene Ontology (molecular function), Rho-dependent protein serine/threonine kinase activity [GO:0072518]
20646,P23874,Gene Ontology (molecular function), ribosomal protein S6 kinase activity [GO:0004711]
20647,P23874,Gene Ontology (molecular function), sequence-specific DNA binding [GO:0043565]
20648,P23874,Gene Ontology (molecular function), transcription cis-regulatory region binding [GO:0000976]
20649,P23874,Gene Ontology (cellular component), protein-DNA complex [GO:0032993]
20650,P23874,Gene Ontology (cellular component), toxin-antitoxin complex [GO:0110001]
20651,P23874,Gene Ontology (biological process), regulation of DNA-templated transcription [GO:0006355]
20652,P23874,Gene Ontology (biological process), regulation of growth [GO:0040008]
20653,P23874,Gene Ontology (biological process), response to antibiotic [GO:0046677]
20654,P23874,Gene Ontology (biological process), single-species biofilm formation [GO:0044010]
20655,HIPA_ECOLI,Gene Ontology (biological process),dormancy process [GO:0022611]
20656,HIPA_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
20657,HIPA_ECOLI,Gene Ontology (molecular function),3-phosphoinositide-dependent protein kinase activity [GO:0004676]
20658,HIPA_ECOLI,Gene Ontology (molecular function), AMP-activated protein kinase activity [GO:0004679]
20659,HIPA_ECOLI,Gene Ontology (molecular function), ATP binding [GO:0005524]
20660,HIPA_ECOLI,Gene Ontology (molecular function), DNA-binding transcription repressor activity [GO:0001217]
20661,HIPA_ECOLI,Gene Ontology (molecular function), DNA-dependent protein kinase activity [GO:0004677]
20662,HIPA_ECOLI,Gene Ontology (molecular function), histone H2AS1 kinase activity [GO:0044024]
20663,HIPA_ECOLI,Gene Ontology (molecular function), histone H2AS121 kinase activity [GO:0072371]
20664,HIPA_ECOLI,Gene Ontology (molecular function), histone H2AT120 kinase activity [GO:1990244]
20665,HIPA_ECOLI,Gene Ontology (molecular function), histone H2AXS139 kinase activity [GO:0035979]
20666,HIPA_ECOLI,Gene Ontology (molecular function), histone H2BS14 kinase activity [GO:0044025]
20667,HIPA_ECOLI,Gene Ontology (molecular function), histone H2BS36 kinase activity [GO:0140823]
20668,HIPA_ECOLI,Gene Ontology (molecular function), histone H3S10 kinase activity [GO:0035175]
20669,HIPA_ECOLI,Gene Ontology (molecular function), histone H3S28 kinase activity [GO:0044022]
20670,HIPA_ECOLI,Gene Ontology (molecular function), histone H3S57 kinase activity [GO:0140855]
20671,HIPA_ECOLI,Gene Ontology (molecular function), histone H3T11 kinase activity [GO:0035402]
20672,HIPA_ECOLI,Gene Ontology (molecular function), histone H3T3 kinase activity [GO:0072354]
20673,HIPA_ECOLI,Gene Ontology (molecular function), histone H3T45 kinase activity [GO:0140857]
20674,HIPA_ECOLI,Gene Ontology (molecular function), histone H3T6 kinase activity [GO:0035403]
20675,HIPA_ECOLI,Gene Ontology (molecular function), histone H4S1 kinase activity [GO:0044023]
20676,HIPA_ECOLI,Gene Ontology (molecular function), magnesium ion binding [GO:0000287]
20677,HIPA_ECOLI,Gene Ontology (molecular function), protein serine kinase activity [GO:0106310]
20678,HIPA_ECOLI,Gene Ontology (molecular function), protein serine/threonine kinase activity [GO:0004674]
20679,HIPA_ECOLI,Gene Ontology (molecular function), Rho-dependent protein serine/threonine kinase activity [GO:0072518]
20680,HIPA_ECOLI,Gene Ontology (molecular function), ribosomal protein S6 kinase activity [GO:0004711]
20681,HIPA_ECOLI,Gene Ontology (molecular function), sequence-specific DNA binding [GO:0043565]
20682,HIPA_ECOLI,Gene Ontology (molecular function), transcription cis-regulatory region binding [GO:0000976]
20683,HIPA_ECOLI,Gene Ontology (cellular component), protein-DNA complex [GO:0032993]
20684,HIPA_ECOLI,Gene Ontology (cellular component), toxin-antitoxin complex [GO:0110001]
20685,HIPA_ECOLI,Gene Ontology (biological process), regulation of DNA-templated transcription [GO:0006355]
20686,HIPA_ECOLI,Gene Ontology (biological process), regulation of growth [GO:0040008]
20687,HIPA_ECOLI,Gene Ontology (biological process), response to antibiotic [GO:0046677]
20688,HIPA_ECOLI,Gene Ontology (biological process), single-species biofilm formation [GO:0044010]
20689,P23882,Gene Ontology (biological process),charged-tRNA amino acid modification [GO:0019988]
20690,P23882,Gene Ontology (cellular component),cytosol [GO:0005829]
20691,P23882,Gene Ontology (molecular function),methionyl-tRNA formyltransferase activity [GO:0004479]
20692,P23882,Gene Ontology (biological process), conversion of methionyl-tRNA to N-formyl-methionyl-tRNA [GO:0071951]
20693,FMT_ECOLI,Gene Ontology (biological process),charged-tRNA amino acid modification [GO:0019988]
20694,FMT_ECOLI,Gene Ontology (cellular component),cytosol [GO:0005829]
20695,FMT_ECOLI,Gene Ontology (molecular function),methionyl-tRNA formyltransferase activity [GO:0004479]
20696,FMT_ECOLI,Gene Ontology (biological process), conversion of methionyl-tRNA to N-formyl-methionyl-tRNA [GO:0071951]
20697,P23886,Gene Ontology (biological process),cell redox homeostasis [GO:0045454]
